Total expenditure,GDP,thinness 1-19 years,thinness 5-9 years,Life expectancy
0.2681318681318682,0.008013586506605597,0.047970479704797044,0.042704626334519574,61.1
0.4,0.05664393361534444,0.06642066420664205,0.060498220640569395,75.0
0.4864468864468864,0.018406277008169394,0.036900369003690044,0.03558718861209965,84.0
0.19047619047619047,0.008107976167631727,0.12546125461254612,0.1209964412811388,63.3
0.36923076923076925,0.0002575376931623168,0.5350553505535056,0.5195729537366548,71.8
0.6124542124542124,0.09840866369499526,0.02583025830258303,0.01779359430604982,76.9
0.44395604395604393,0.013567148298377,0.029520295202952032,0.028469750889679714,79.7
0.6051282051282051,0.006153070160919256,0.003690036900369004,0.003558718861209965,64.3
0.19487179487179487,0.14134755859680695,0.24354243542435425,0.21352313167259787,74.8
0.5487179487179488,0.18624397707119672,0.014760147601476014,0.014234875444839859,80.0
0.147985347985348,0.3230309058645286,0.1180811808118081,0.11032028469750892,74.0
0.33992673992673994,0.11934260177173744,0.14391143911439114,0.13879003558718864,73.9
0.4205128205128206,0.0047869153622187135,0.04428044280442805,0.03914590747330961,75.5
0.5238095238095238,0.01020362331599945,0.09225092250922509,0.08540925266903915,72.2
0.23589743589743592,0.0051584534976754914,0.2730627306273063,0.2633451957295374,59.8
0.3531135531135531,0.041074590311745436,0.05166051660516605,0.046263345195729534,48.1
0.25347985347985347,0.0006752478285931037,0.2952029520295203,0.2811387900355872,57.6
0.5604395604395604,0.01570014400253665,0.0959409594095941,0.099644128113879,73.9
0.5443223443223443,0.018769072302905733,0.07380073800738007,0.06761565836298933,69.0
0.21904761904761907,0.010176283700259713,0.21402214022140223,0.22064056939501783,72.2
0.5978021978021978,0.00240457371041209,0.2398523985239852,0.23131672597864772,51.3
0.3824175824175824,0.0005544175997974012,0.28044280442804426,0.2633451957295374,57.6
0.18095238095238095,0.0028013514668694885,0.5608856088560886,0.5373665480427047,74.5
0.23223443223443227,0.010010952327646256,0.033210332103321034,0.3416370106761566,67.0
0.1934065934065934,0.012164164726957416,0.05535055350553506,0.04982206405693951,72.8
0.5582417582417581,0.16257208903606762,0.02214022140221402,0.021352313167259787,79.6
0.13479853479853482,0.052486550731201446,0.1771217712177122,0.15658362989323846,76.6
0.6615384615384615,0.21745725918813033,0.02583025830258303,0.021352313167259787,85.0
0.4315018315018315,0.13717130483082815,0.08118081180811806,0.08185053380782918,71.9
0.39633699633699637,0.0024591992124040887,0.2287822878228782,0.21708185053380788,73.6
0.04102564102564103,0.3909896787362187,0.014760147601476014,0.010676156583629895,87.0
0.2637362637362637,0.008305735304044616,0.9926199261992621,0.9893238434163701,65.5
0.39780219780219783,0.029966754818787043,0.09963099630996308,0.09608540925266904,69.9
0.6659340659340659,0.37377233433857554,0.014760147601476014,0.010676156583629895,85.0
0.06080586080586081,0.03901706590880638,0.033210332103321034,0.028469750889679714,87.0
0.34212454212454213,0.06290185719329981,0.24354243542435425,0.2241992882562278,65.1
0.06446886446886448,0.00984431840725472,0.2103321033210332,0.19572953736654805,52.1
0.28424908424908424,0.01831220967372033,0.05166051660516605,0.046263345195729534,73.6
0.5135531135531135,0.7530186440494999,0.029520295202952032,0.028469750889679714,79.4
0.20073260073260077,0.01894651773235941,0.15129151291512916,0.13523131672597866,67.9
0.4498168498168498,0.06555411700206953,0.07011070110701106,0.06761565836298933,73.7
0.6,0.04547800936347209,0.3136531365313653,0.29893238434163705,65.9
0.1435897435897436,0.0668004836404055,0.1180811808118081,0.11387900355871887,66.0
0.654945054945055,0.015193344904064751,0.14022140221402213,0.13523131672597866,72.1
0.22051282051282053,0.005286471703961412,0.4132841328413284,0.40569395017793597,65.0
0.6710622710622711,0.20822175246490388,0.02214022140221402,0.014234875444839859,79.0
0.6468864468864469,0.30366354795662137,0.014760147601476014,0.010676156583629895,81.0
0.2564102564102564,0.03319456582044705,0.2878228782287823,0.2775800711743773,71.5
0.764102564102564,0.049308912816677035,0.05535055350553506,0.053380782918149475,76.2
0.4769230769230769,0.03339608714541736,0.08118081180811806,0.07473309608540926,77.5
0.27692307692307694,0.0024968169694591317,0.17343173431734316,0.14946619217081852,74.2
0.44468864468864466,0.02463421797972261,0.25092250922509224,0.24911032028469754,47.8
0.46593406593406594,0.002626283132986923,0.08118081180811806,0.08185053380782918,78.0
